id,title,has_not_been_viewed_much,date_start,date_end,medium_display,is_public_domain,has_multimedia_resources,has_educational_resources,has_advanced_imaging,colorfulness,is_on_view,artwork_type_title,department_title,artist_title
209980,Blood Sign,False,1974.0,1974.0,"Single-channel video (transferred from Super-8 film), color, silent; 4 min. 40 sec.; edition 1 of 6, plus 3 artist's proofs",False,False,False,False,11.3651,False,"Film, Video, New Media",Contemporary Art,Ana Mendieta
25674,The Truck,False,1966.0,1966.0,"Metal, plaster, glass, wood, plastic, 16mm color film, silent, transferred to digital video (projection), 2 min 54 sec loop",False,False,False,False,48.604,False,"Film, Video, New Media",Contemporary Art,George Segal
260056,"Suspension (Sierra Brooks, Daisha Cannon, Luci Collins, Olivia Courtney, Naveen Daries, Dominique Dawes, Nia Dennis, Makarri Doggette, Daiane dos Santos, Gabby Douglas, Dianne Durham, Yesenia Ferrera, Annia Hatch, Ashleigh Heldsinger, Laurie Hernandez, Kiya Johnson, Dipa Karmakar, Jennifer Khwela, Rankoe Mammule, Sibongile Mjekula, Betty Okino, Elizabeth Price, Caitlin Rooskrantz, Tasha Schwikert, Jamison Sears, Stella Umeh, Gabby Wilson, Corrine Wright)",True,2020.0,2020.0,"Digital Video, sound",False,False,False,False,,False,Time Based Media,Photography and Media,Thenjiwe Niki Nkosi
221132,The Death and Burial of the First Emperor of China,True,1997.0,1997.0,"16mm color film, sound; edition number three of five",False,False,False,False,,False,"Film, Video, New Media",Contemporary Art,T. J. Wilcox
46429,Bamboo and Squirrel (清朝 虚谷 松鼠翠竹图),False,1824.0,1896.0,Hanging scroll; ink and colors on paper,True,False,False,False,15.394,False,Painting,Arts of Asia,Xugu
184432,Monkeys on a Fruit Tree,True,1867.0,1900.0,Hanging scroll; ink and colors on silk,False,False,False,False,0.0,False,Painting,Arts of Asia,Mori Sosen
89757,Cat and Carp,True,,,Hanging scroll; ink and colors on paper,False,False,False,False,22.9206,False,,Arts of Asia,Sesson Shukei
35648,Tiger in the Rain,True,,,Hanging scroll; ink and colors on paper,False,False,False,False,0.0,False,,Arts of Asia,Mori Sosen
73235,Massimo,True,1986.0,1986.0,Gelatin silver print,False,False,False,False,7.1268,False,Photograph,Photography and Media,Patrick Faigenbaum
63348,"Jack, Chicago, from the series ""The Bikeriders"" and No. 7 from the portfolio ""Danny Lyon"" (1979)",True,1965.0,1966.0,Gelatin silver print,False,False,False,False,2.4487,False,Photograph,Photography and Media,Danny Lyon
151944,"Delhi, India",True,1975.0,1975.0,Gelatin silver print,False,False,False,False,2.5893,False,Photograph,Photography and Media,Kenneth Josephson
74258,Colorado,True,1967.0,1967.0,Gelatin silver print,False,False,False,False,3.1531,False,Photograph,Photography and Media,Lee Friedlander
199858,Tunic,False,1900.0,1975.0,"Glass beads, cloth, and string",False,False,False,False,28.7895,False,Costume and Accessories,Arts of Africa,Yoruba
158699,Untitled,True,1933.0,1997.0,Gelatin silver print,False,False,False,False,6.7515,False,Photograph,Photography and Media,Nathan Lerner
229891,Dance Hat (Juju),True,1901.0,1999.0,"Wool, rattan, and human hair",False,False,False,False,14.9842,False,Costume and Accessories,Arts of Africa,Bamileke
229887,Barrister’s Crown (Orikogbofo),False,1925.0,1975.0,"Raffia, canvas, glass, and pigment",False,False,False,False,68.9121,False,Costume and Accessories,Arts of Africa,Yoruba
229897,Man’s Hat (Ntamp),True,1925.0,1975.0,"Wool, fiber, and pigment",False,False,False,False,30.0471,False,Costume and Accessories,Arts of Africa,Bamileke
229892,Royal Cap (Orikogbofo),True,1925.0,1950.0,"Glass, cloth, and string",True,False,False,False,17.6108,False,Costume and Accessories,Arts of Africa,Yoruba
229893,Royal Cap (Orikogbofo),True,1901.0,2000.0,"Glass, cloth, and string",True,False,False,False,42.4508,False,Costume and Accessories,Arts of Africa,Yoruba
229895,Prestige Hat,True,1901.0,1925.0,"Cloth, fiber, wool, and pigment",False,False,False,False,36.0713,False,Costume and Accessories,Arts of Africa,Bamileke
229888,Prestige Cap,True,1901.0,1999.0,"Cotton, wool, and pigment",False,False,False,False,22.5426,False,Costume and Accessories,Arts of Africa,Bamileke
229894,Headdress (Egungun or Gelede),True,1901.0,1999.0,Wood and pigment,False,False,False,False,4.0519,False,Costume and Accessories,Arts of Africa,Yoruba
201820,Prayer-String Necklace,True,1900.0,1940.0,"Wood, silver, copper, amber, silk, and carnelian",False,False,False,False,19.4085,False,Costume and Accessories,Arts of Africa,Tekna
120325,Pendant (Crocodile),True,1875.0,1950.0,Gold,False,False,False,False,46.3354,False,Costume and Accessories,Arts of Africa,Baule
120324,Pendant (Ram Head),False,1875.0,1950.0,Gold,False,False,False,False,39.8632,False,Costume and Accessories,Arts of Africa,Baule
120327,Pendant (Cow Head),True,1875.0,1950.0,Gold,False,False,False,False,45.4089,False,Costume and Accessories,Arts of Africa,Baule
120326,Pendant (Crocodile),True,1850.0,1950.0,Gold,False,False,False,False,,False,Costume and Accessories,Arts of Africa,Baule
120332,Pendant (Human Head),True,1850.0,1950.0,Gold,False,False,False,False,,False,Costume and Accessories,Arts of Africa,Baule
120330,Pendant (Spiral),True,1850.0,1950.0,Gold,False,False,False,False,,False,Costume and Accessories,Arts of Africa,Baule
15457,Plaque,False,1501.0,1700.0,Brass,True,False,False,False,6.5777,True,Sculpture,Arts of Africa,Edo
145930,Pendant (Disk with Lizard),True,1850.0,1950.0,Gold,False,False,False,False,,False,Costume and Accessories,Arts of Africa,Baule
51809,Tusk,False,1850.0,1888.0,Ivory,True,True,False,False,0.0,True,Religious/Ritual Object,Arts of Africa,Edo
180750,Head (Uhunmwun Elao),False,1701.0,1825.0,Brass,True,False,False,False,5.0682,True,Sculpture,Arts of Africa,Edo
193468,Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,8.9229,False,Decorative Arts,Arts of Africa,Asante
193465,Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,5.8971,False,Decorative Arts,Arts of Africa,Asante
193474,Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,8.1729,False,Decorative Arts,Arts of Africa,Asante
193472,Concentric Circles-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,8.0685,False,Decorative Arts,Arts of Africa,Asante
193551,"""Ram's Horns"" Stamp for Adinkra Textile",True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,7.0001,False,Decorative Arts,Arts of Africa,Asante
193469,Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,10.5452,False,Decorative Arts,Arts of Africa,Asante
193480,Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,5.3605,False,Decorative Arts,Arts of Africa,Asante
193478,Five-Petaled Flower-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,9.3211,False,Decorative Arts,Arts of Africa,Asante
193476,Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,10.8388,False,Decorative Arts,Arts of Africa,Asante
193471,"""Fortress"" Stamp for Adinkra Textile",False,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,7.0297,False,Decorative Arts,Arts of Africa,Asante
193479,Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,7.2223,False,Decorative Arts,Arts of Africa,Asante
193470,"""Hairstyle of Court Attendants"" Stamp for Adinkra Textile",False,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,9.4424,False,Decorative Arts,Arts of Africa,Asante
193552,Crescent-and-Star-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,9.9666,False,Decorative Arts,Arts of Africa,Asante
193477,Fern-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,6.6529,False,Decorative Arts,Arts of Africa,Asante
193466,Leaf-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,4.0445,False,Decorative Arts,Arts of Africa,Asante
193457,Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,4.1933,False,Decorative Arts,Arts of Africa,Asante
193437,Crescent-and-Star-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,3.5498,False,Decorative Arts,Arts of Africa,Asante
193435,Cocoa Tree-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,6.6142,False,Decorative Arts,Arts of Africa,Asante
193455,Crossed-Swords-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,9.4648,False,Decorative Arts,Arts of Africa,Asante
193439,Leaf-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,4.2271,False,Decorative Arts,Arts of Africa,Asante
193438,Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,11.3294,False,Decorative Arts,Arts of Africa,Asante
193458,Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,2.9747,False,Decorative Arts,Arts of Africa,Asante
193454,Porcupine-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,22.2516,False,Decorative Arts,Arts of Africa,Asante
193442,Checkerboard-Shaped Stamp for Adinkra Textile,True,1875.0,1950.0,"Calabash, sticks, cloth, and string",False,False,False,False,19.0168,False,Decorative Arts,Arts of Africa,Asante
193441,Stamp for Adinkra Textile,True,1875.0,1950.0,Calabash,False,False,False,False,3.6971,False,Decorative Arts,Arts of Africa,Asante
